DETECÇÃO DE FUNGOS - RESULTADO COMPLETO
============================================================

Total de fungos: 277
Área da folha: 2,325,740 pixels
Área de fungos: 144,991 pixels
Porcentagem infectada: 6.23%

Área média dos fungos: 523.4 px
Área mínima: 15 px
Área máxima: 4726 px

============================================================
LISTA COMPLETA (ordenada por tamanho):
============================================================

Fungo #197: posição (1375.8, 1802.4) -    76 px²
Fungo #198: posição (1025.3, 1981.4) -    75 px²
Fungo #199: posição (2663.0, 1138.7) -    71 px²
Fungo #200: posição (1295.9, 1862.5) -    71 px²
Fungo #201: posição (2102.6, 1642.0) -    68 px²
Fungo #202: posição (1313.9, 1876.4) -    68 px²
Fungo #203: posição (1961.4, 1811.9) -    66 px²
Fungo #204: posição (2514.7, 1996.8) -    66 px²
Fungo #205: posição (3420.6, 1239.5) -    64 px²
Fungo #206: posição (2784.3, 1314.4) -    64 px²
Fungo #207: posição (2281.0, 1921.9) -    63 px²
Fungo #208: posição (1538.0, 2338.5) -    63 px²
Fungo #209: posição (1000.8, 2006.8) -    60 px²
Fungo #210: posição (1168.2, 1637.3) -    56 px²
Fungo #211: posição (2170.0, 1653.4) -    54 px²
Fungo #212: posição (2079.0, 1736.0) -    51 px²
Fungo #213: posição ( 934.8, 2145.0) -    50 px²
Fungo #214: posição (3496.0, 1181.4) -    49 px²
Fungo #215: posição (2705.2, 1350.7) -    48 px²
Fungo #216: posição ( 995.1, 2316.5) -    48 px²
Fungo #217: posição (2648.0, 1130.8) -    46 px²
Fungo #218: posição (2844.0, 1431.5) -    46 px²
Fungo #219: posição (2682.1, 1360.3) -    45 px²
Fungo #220: posição (1057.3, 1850.4) -    44 px²
Fungo #221: posição (1523.9, 2349.3) -    44 px²
Fungo #222: posição (1905.6, 2348.9) -    43 px²
Fungo #223: posição (1669.4, 1990.2) -    42 px²
Fungo #224: posição ( 989.8, 2351.5) -    42 px²
Fungo #225: posição (1556.2, 2051.0) -    41 px²
Fungo #226: posição (1194.8, 1576.4) -    40 px²
Fungo #227: posição (1073.0, 1810.3) -    39 px²
Fungo #228: posição (2766.6, 1847.1) -    38 px²
Fungo #229: posição (2386.9, 1809.5) -    37 px²
Fungo #230: posição (2318.4, 1849.7) -    37 px²
Fungo #231: posição (1468.1, 2379.2) -    37 px²
Fungo #232: posição (1947.6, 2389.9) -    37 px²
Fungo #233: posição (2390.1, 1533.8) -    35 px²
Fungo #234: posição ( 977.3, 2337.3) -    35 px²
Fungo #235: posição (3289.3, 1211.7) -    34 px²
Fungo #236: posição (2890.9, 1252.8) -    34 px²
Fungo #237: posição (1041.6, 1806.5) -    34 px²
Fungo #238: posição (1018.3, 1993.6) -    34 px²
Fungo #239: posição (2593.5, 2030.6) -    34 px²
